MA,FA,Cs,EA,Pb,Sn,Cl,Br,I,PCE,V_OC,J_SC,FF,Eg
0.7,0.3,0,0,1,0,0,0,3,16.175,1.03,218.95,0.705,1.55
0.7,0.3,0,0,1,0,0,0.15,2.85,16.72,1.06,204.8,0.77,1.6
0.7,0.3,0,0,1,0,0,0.3,2.7,17.34,1,215.7,0.78,1.59
0.7,0.3,0,0,1,0,0,0.45,2.55,16.4,1.11,189.4,0.78,1.66
0.7,0.3,0,0,1,0,0,0.6,2.4,15.01,1.11,173.4,0.78,1.69
0.7,0.3,0,0,1,0,0,2.1,0.9,0.85,0.82,20,0.51,2.03
0.7,0.3,0,0,1,0,0,0,3,17.27,1.06,225.3,0.73,1.58
0.56,0.44,0,0,1,0,0,0.33,2.67,14,1.01,190.35,0.748,1.62
0.52,0.48,0,0,1,0,0,0,3,17.94,1.08,228.95,0.725,1.62
0.6,0.4,0,0,0.4,0.6,0,0,3,14,0.75,288,0.66,1.3
0.6,0.4,0,0,1,0,0,0.025,2.975,16.4,1.06,215,0.72,1.6
0.6,0.4,0,0,1,0,0,0.1,2.9,16.8,1.045,214,0.7425,1.56
0.6,0.4,0,0,1,0,0,0.2,2.8,15.1,1.03,215.7,0.71,1.58
0.6,0.4,0,0,1,0,0,0.6,2.4,13.35,1.065,176,0.71,1.68
0.6,0.4,0,0,1,0,0,0,3,13.4,0.9995,210.8,0.659,1.54
0.5,0.5,0,0,0.5,0.5,0,0,3,13.93,0.73,283.8,0.7,1.25
0.5,0.5,0,0,0.75,0.25,0,0,3,14,0.78,230.3,0.79,1.33
0.5,0.5,0,0,1,0,0,0.5,2.5,12.87,1.04,203.63,0.608,1.612
0.5,0.5,0,0,1,0,0,1.5,1.5,6.11,0.949,89.735,0.44,1.8325
0.5,0.5,0,0,1,0,0,2.5,0.5,3.9,0.978,68.68,0.582,2.141
0.5,0.5,0,0,1,0,0,2,1,7.88,1.035,126.23,0.603,1.957
0.5,0.5,0,0,1,0,0,3,0,7.1,1.385,70.37,0.728,2.28
0.5,0.5,0,0,1,0,0,1,2,15.33,1.104,200.36,0.685,1.751
0.5,0.5,0,0,1,0,0,0,3,9.81,0.9,194.9,0.604,1.6
0.5,0.5,0,0,0,1,0,0,3,4.07,0.63,134.8,0.477,1.38
0.35,0.65,0,0,1,0,0,0,3,11.04,0.98,194.3,0.58,1.52
0.34,0.66,0,0,0.25,0.75,0,0,3,7.1,0.5,222,0.63,1.26
0.34,0.66,0,0,0.4,0.6,0,0,3,13.4,0.72,265,0.7,1.25
0.34,0.66,0,0,0.5,0.5,0,0,3,14.3,0.75,271,0.71,1.26
0.34,0.66,0,0,0.6,0.4,0,0,3,13.3,0.75,248,0.72,1.29
0.34,0.66,0,0,0.75,0.25,0,0,3,12,0.75,211,0.75,1.32
0.34,0.66,0,0,1,0,0,0.42,2.58,16.9,1.04,221,0.74,1.62
0.34,0.66,0,0,1,0,0,0,3,16.3,1.005,223,0.76,1.533
0.34,0.66,0,0,0,1,0,0,3,0.1,0.19,9,0.52,1.45
0.33,0.67,0,0,1,0,0,0.5,2.5,19.93,1.1165,232.415,0.7605,1.638
0.33,0.67,0,0,1,0,0,1.5,1.5,11.7,1.114,153.29,0.687,1.848
0.33,0.67,0,0,1,0,0,2.5,0.5,3.4,0.921,72.48,0.513,2.115
0.33,0.67,0,0,1,0,0,2,1,5.64,0.999,95.49,0.592,1.969
0.33,0.67,0,0,1,0,0,3,0,5.53,1.351,69.87,0.582,2.28
0.33,0.67,0,0,1,0,0,1,2,18.54,1.151,214.35,0.748,1.682
0.33,0.67,0,0,1,0,0,0,3,13.86,0.971,227.04,0.628,1.528
0.4,0.6,0,0,0.4,0.6,0,0.12,2.88,18.44,0.87,286.8,0.739,1.26
0.4,0.6,0,0,0.4,0.6,0,0.18,2.82,18.625,0.885,286.55,0.7445,1.272
0.4,0.6,0,0,0.4,0.6,0,0.24,2.76,18.58,0.882,285.4,0.738,1.28
0.4,0.6,0,0,0.4,0.6,0,0.3,2.7,10.25,0.69,246.6,0.69,1.33
0.4,0.6,0,0,0.4,0.6,0,0.48,2.52,17.84,0.884,279.5,0.722,1.32
0.4,0.6,0,0,0.4,0.6,0,0,3,16.99,0.827,283.6,0.7115,1.25
0.4,0.6,0,0,0.6,0.4,0,0,3,15.2,0.76,313,0.64,1.25
0.4,0.6,0,0,1,0,0,0.4,2.6,16.35,1.04,209,0.75,1.58
0.4,0.6,0,0,1,0,0,0,3,14.305,0.98,214.45,0.68,1.545
0.29,0.71,0,0,1,0,0,0.42,2.58,20.15,1.105,227.5,0.8,1.62
0.25,0.75,0,0,0.75,0.25,0,0,3,7.53,0.7,165.5,0.65,1.33
0.25,0.75,0,0,1,0,0,0.45,2.55,18.2,1.05,223,0.78,1.62
0.25,0.75,0,0,1,0,0,0.51,2.49,10.1,0.906,186,0.6,1.65
0.25,0.75,0,0,1,0,0,0.75,2.25,14.95,1.075,195.5,0.7115,1.61
0.25,0.75,0,0,1,0,0,0,3,9.26,0.831,179.4,0.621,1.53
0.25,0.75,0,0,0,1,0,0,3,6.6,0.52,200,0.64,1.36
0.3,0.7,0,0,0.5,0.5,0,0,3,17.6,0.7985,307,0.7,1.25
0.3,0.7,0,0,0.7,0.3,0,0,3,9.7,0.72,190,0.65,1.26
0.3,0.7,0,0,1,0,0,0.1,2.9,17.4,1.06,234,0.715,1.58
0.3,0.7,0,0,1,0,0,0.9,2.1,1.48,0.8,34,0.55,1.71
0.3,0.7,0,0,1,0,0,0,3,15.23,1.05,230.5,0.651,1.6
0.19,0.81,0,0,1,0,0,0.54,2.46,12.55,1.2,160,0.65,1.62
0.18,0.82,0,0,1,0,0,0.53,2.47,11.1,1.145,156.5,0.615,1.64
0.17,0.83,0,0,1,0,0,0.03,2.97,15.9,1.1,201,0.75,1.6
0.17,0.83,0,0,1,0,0,0.33,2.67,19.37,1.04,244.8,0.76,1.59
0.17,0.83,0,0,1,0,0,0.39,2.61,16.75,1.0475,153.5,0.68,1.6
0.17,0.83,0,0,1,0,0,0.46,2.54,18,1.12,210,0.75,1.57
0.17,0.83,0,0,1,0,0,0.47,2.53,17.31,1.1,223.5,0.702,1.61
0.17,0.83,0,0,1,0,0,0.49,2.51,16.08,1.08,223.1,0.68,1.6
0.17,0.83,0,0,1,0,0,0.5,2.5,11.65,0.99,158,0.73,1.627
0.17,0.83,0,0,1,0,0,0.51,2.49,15.71,1.06,205,0.7055,1.62
0.17,0.83,0,0,1,0,0,0.52,2.48,13.35,1.125,185.5,0.655,1.64
0.17,0.83,0,0,1,0,0,0.5,2.5,16.73,1.085,214.5,0.691,1.6
0.17,0.83,0,0,1,0,0,1.2,1.8,14.9,1.135,182.5,0.715,1.72
0.17,0.83,0,0,1,0,0,1.5,1.5,10.655,1.0975,155.535,0.627,1.853
0.17,0.83,0,0,1,0,0,2.5,0.5,3.3,0.878,88.43,0.425,2.113
0.17,0.83,0,0,1,0,0,2,1,5.81,0.975,111.45,0.535,1.976
0.17,0.83,0,0,1,0,0,3,0,6.54,1.423,70.04,0.654,2.278
0.17,0.83,0,0,1,0,0,1,2,14.72,1.178,190.96,0.652,1.684
0.17,0.83,0,0,1,0,0,0,3,14.52,0.921,215.03,0.613,1.535
0.16,0.84,0,0,1,0,0,0.4,2.6,18.885,1.089,223.6,0.771,1.53
0.16,0.84,0,0,1,0,0,0.5,2.5,13.1,1.01,216.5,0.605,1.65
0.16,0.84,0,0,1,0,0,0.51,2.49,15.95,1.1,218.5,0.675,1.64
0.15,0.85,0,0,1,0,0,0.45,2.55,16.835,1.1,221.4,0.771,1.59
0.15,0.85,0,0,1,0,0,0.21,2.79,16.82,1.05,228.2,0.702,1.56
0.15,0.85,0,0,1,0,0,0.45,2.55,15.735,1.06,213.2,0.706,1.6
0.15,0.85,0,0,1,0,0,0.5,2.5,17.55,1.12,216.5,0.72,1.65
0.15,0.85,0,0,1,0,0,0.5,2.5,8.77,0.945,159.8,0.581,1.627
0.15,0.85,0,0,1,0,0,0.6,2.4,20.22,1.14,233,0.761,1.616
0.15,0.85,0,0,1,0,0,0,3,19.69,1.09,240.7,0.761,1.555
0.13,0.87,0,0,1,0,0,0,3,18.09,1.0885,221,0.752,1.5
0.12,0.88,0,0,1,0,0,0,3,16.6,1.06,233,0.725,1.53
0.2,0.8,0,0,0.8,0.2,0,0,3,6,0.53,272,0.4,1.27
0.2,0.8,0,0,1,0,0,0.2,2.8,12.75,0.955,190.5,0.665,1.53
0.2,0.8,0,0,1,0,0,0.6,2.4,16.4,0.98,217,0.758,1.61
0.2,0.8,0,0,1,0,0,0.6,2.4,13.74,1.08,197.7,0.668,1.5
0.2,0.8,0,0,1,0,0,0,3,18,1.05,228,0.759,1.35
0.08,0.92,0,0,1,0,0,0.24,2.76,20.7,1.1,240,0.785,1.56
0.08,0.92,0,0,1,0,0,0,3,21.37,1.12,242.4,0.791,1.55
0.05,0.95,0,0,1,0,0,0.15,2.85,20.1,1.085,234,0.8025,1.52
0.04,0.96,0,0,1,0,0,0.12,2.88,15.87,1.06,213.4,0.7,1.48
0.025,0.975,0,0,1,0,0,0,3,19.16,1.08,231.3,0.77,1.48
0.024,0.976,0,0,1,0,0,0.075,2.925,19.65,1.1,248.5,0.719,1.54
0.1,0.9,0,0,1,0,0,0.03,2.97,17.62,1.05,236,0.712,1.581
0.1,0.9,0,0,1,0,0,0.1,2.9,18.8,1.06,230.5,0.771,1.56
0.1,0.9,0,0,1,0,0,0.3,2.7,15.99,1.04,225,0.67,1.5
0.1,0.9,0,0,1,0,0,0,3,17.845,1.06,232.9,0.778,1.525
0,1,0,0,0.125,0.875,0,0,3,0.05,0.06,29.46,0.328,1.25
0,1,0,0,0.25,0.75,0,0,3,5.27,0.46,204.3,0.561,1.26
0,1,0,0,0.2,0.8,0,0,3,3.54,0.45,162,0.476,1.29
0,1,0,0,0.375,0.625,0,0,3,6.19,0.537,176.35,0.545,1.21
0,1,0,0,0.4,0.6,0,0,3,7.89,0.602,253.8,0.516,1.29
0,1,0,0,0.5,0.5,0,0,3,10.055,0.6905,263.1,0.585,1.195
0,1,0,0,0.625,0.375,0,0,3,6.55,0.679,118.13,0.738,1.24
0,1,0,0,0.75,0.25,0,0,3,8.795,0.75,187.8,0.647,1.38
0,1,0,0,0.7,0.3,0,0,3,12.69,0.73,238.65,0.735,1.34
0,1,0,0,0.875,0.125,0,0,3,0.54,0.394,27.06,0.314,1.33
0,1,0,0,0.9,0.1,0,0,3,3.695,0.6055,198.95,0.305,1.43
0,1,0,0,1,0,0,0,3,6.84,0.85,169.3,0.475,1.48
0,1,0,0,1,0,0,0.15,2.85,12.48,0.99,198.2,0.63,1.62
0,1,0,0,1,0,0,0.5,2.5,9.57,1.202,142.65,0.559,1.965
0,1,0,0,1,0,0,0.6,2.4,9.1,1,136,0.67,1.57
0,1,0,0,1,0,0,1.5,1.5,8.92,1.0585,135.15,0.5835,1.93
0,1,0,0,1,0,0.9,2.1,0,2.38,1.14,34.3,0.61,2.44
0,1,0,0,1,0,0.75,2.25,0,3.79,1.23,48.4,0.64,2.39
0,1,0,0,1,0,0.57,2.43,0,7.08,1.54,71,0.73,2.36
0,1,0,0,1,0,0,2.5,0.5,5.01,1.061,96.71,0.488,2.105
0,1,0,0,1,0,0.33,2.67,0,8.22,1.49,75.1,0.73,2.3
0,1,0,0,1,0,1,2,0,1.35,1.06,24.5,0.52,2.48
0,1,0,0,1,0,0,2,1,7.52,1.138,127.69,0.518,1.969
0,1,0,0,1,0,0,3,0,5.5,1.32,66,0.67,2.27
0,1,0,0,1,0,0,1,2,1.9,0.986,38.86,0.498,2.268
0,1,0,0,1,0,0,0,3,12.805,0.997,205,0.654,1.48
0,1,0,0,0,1,0,0,3,3.76,0.328,230.4,0.547,1.4
0,1,0,0,0,1,0,0.24,2.76,3.3,0.3,185,0.57,1.47
0,1,0,0,0,1,0,0.5,2.5,3.75,0.345,175,0.6,1.53
0,1,0,0,0,1,0,0.75,2.25,4.575,0.392,184,0.6545,1.63
0,1,0,0,0,1,0,3,0,2.56,0.35,101.9,0.71,1.6
0,1,0,0,0,1,0,1,2,4.79,0.47,171.3,0.614,1.55
0,1,0,0,0,1,0,0,3,3.71,0.33,185.4,0.588,1.4
1,0,0,0,0.125,0.875,0,0,3,1.53,0.238,142,0.45,1.18
1,0,0,0,0.25,0.75,0,1.2,1.8,0.71,0.41,27.6,0.63,1.34
1,0,0,0,0.25,0.75,0,0,3,3.74,0.366,175.5,0.515,1.25
1,0,0,0,0.2,0.8,0,0.4,2.6,7.88,0.79,158.8,0.625,1.26
1,0,0,0,0.2,0.8,0,0,3,7.335,0.6655,196.5,0.5615,1.2045
1,0,0,0,0.375,0.625,0,0,3,6.74,0.481,240,0.58,1.2
1,0,0,0,0.38,0.62,0,0,3,13.1,0.783,250.4,0.691,1.22
1,0,0,0,0.3,0.7,0,0,3,0.13,0.04,131.4,0.25,1.17
1,0,0,0,0.4,0.6,0,0.4,2.6,11.755,0.795,205.2,0.7215,1.26
1,0,0,0,0.4,0.6,0,0.6,2.4,11.5,0.71,238.2,0.68,1.24
1,0,0,0,0.4,0.6,0,0.9,2.1,11.6,0.76,235.3,0.65,1.25
1,0,0,0,0.4,0.6,0,1.2,1.8,11.9,0.78,209.5,0.73,1.26
1,0,0,0,0.4,0.6,0,1.5,1.5,10.4,0.73,211.8,0.67,1.27
1,0,0,0,0.4,0.6,0,1.8,1.2,10.9,0.76,213.8,0.67,1.29
1,0,0,0,0.4,0.6,0,2.1,0.9,9.8,0.79,187.1,0.67,1.3
1,0,0,0,0.4,0.6,0,2.4,0.6,9.2,0.74,196.2,0.64,1.32
1,0,0,0,0.4,0.6,0,0,3,10,0.767,205,0.631,1.27
1,0,0,0,0.5,0.5,0,1.2,1.8,2.34,0.57,60.2,0.68,1.48
1,0,0,0,0.5,0.5,0,0.6,2.4,16.29,0.895,243.7,0.7525,1.35
1,0,0,0,0.5,0.5,0,0,3,6.68,0.587,199.6,0.6075,1.22
1,0,0,0,0.625,0.375,0,0,3,10.87,0.69,244,0.645,1.25
1,0,0,0,0.65,0.35,0,0,3,9.37,0.75,210.3,0.6,1.25
1,0,0,0,0.6,0.4,0,0.4,2.6,13.4,0.8,233.8,0.716,1.26
1,0,0,0,0.6,0.4,0,0,3,8.2,0.745,178,0.616,1.39
1,0,0,0,0.75,0.25,0,0.3,2.7,14.49,0.85,218.6,0.78,1.43
1,0,0,0,0.75,0.25,0,0.6,2.4,14.1,0.87,210.5,0.77,1.48
1,0,0,0,0.75,0.25,0,0.9,2.1,13.41,0.9,196,0.76,1.53
1,0,0,0,0.75,0.25,0,1.2,1.8,11.93,0.91,172.5,0.76,1.59
1,0,0,0,0.75,0.25,0,1.5,1.5,11.5,0.94,163.1,0.75,1.65
1,0,0,0,0.75,0.25,0,1.8,1.2,11.805,1.015,153.4,0.76,1.73
1,0,0,0,0.75,0.25,0,2.1,0.9,6.31,1.01,93.3,0.67,1.8
1,0,0,0,0.75,0.25,0,2.4,0.6,3.79,0.97,62.1,0.63,1.9
1,0,0,0,0.75,0.25,0,2.7,0.3,2.52,0.91,44.7,0.62,1.99
1,0,0,0,0.75,0.25,0,3,0,1.49,0.76,32.2,0.61,2.03
1,0,0,0,0.75,0.25,0,0,3,10.7,0.733,224.6,0.646,1.3
1,0,0,0,0.7,0.3,0,0,3,5.595,0.461,176.5,0.502,1.285
1,0,0,0,0.85,0.15,0,0,3,9.485,0.74,208.5,0.5585,1.345
1,0,0,0,0.875,0.125,0,0,3,13.64,0.813,216,0.776,1.42
1,0,0,0,0.8,0.2,0,0.4,2.6,8.04,0.62,193.4,0.67,1.26
1,0,0,0,0.8,0.2,0,0,3,5.9,0.773,118,0.65,1.5
1,0,0,0,0.95,0.05,0,0,3,11.63,0.969,206.4,0.581,1.5
1,0,0,0,0.9,0.1,0,0,3,9.52,0.906,203.2,0.546,1.5
1,0,0,0,1,0,0,0.15,2.85,13.43,1.01,203.3,0.655,1.57
1,0,0,0,1,0,0,0.3,2.7,14.545,1.02,206.45,0.685,1.58
1,0,0,0,1,0,0,0.45,2.55,14.245,1.02,205.8,0.68,1.6
1,0,0,0,1,0,0,0.6,2.4,12.815,1.035,202.75,0.61,1.62
1,0,0,0,1,0,0,1.5,1.5,2.55,0.75,96,0.35,1.72
1,0,0,0,1,0,0,3,0,3.375,0.745,97.3,0.474,2.11
1,0,0,0,1,0,0,1,2,3.88,0.66,120.1,0.493,1.6
1,0,0,0,1,0,3,0,0,2.68,0.56,122.6,0.392,2.8
1,0,0,0,1,0,1,0,2,1.58,0.5,95.6,0.334,2.7
1,0,0,0,1,0,0,0,3,12.8,0.99,201.6,0.68,1.55
1,0,0,0,1,0,0,0.02,2.98,5.5,0.1,90,0.49,1.6
1,0,0,0,1,0,0,0.03,2.97,15.42,1.06,211.5,0.69,1.6
1,0,0,0,1,0,0,0.05,2.95,9.7,0.962,179,0.59,1.57
1,0,0,0,1,0,0,0.075,2.925,10.4,0.95,175,0.642,1.61
1,0,0,0,1,0,0,0.08,2.92,7,0.742,162,0.582,1.6
1,0,0,0,1,0,0,0.09,2.91,11.2,1.026,189.6,0.65,1.61
1,0,0,0,1,0,0,0.11,2.89,16.75,1.052,230.8,0.69,1.585
1,0,0,0,1,0,0,0.12,2.88,13.3,0.99,216.2,0.623,1.6
1,0,0,0,1,0,0,0.14,2.86,18.02,1.064,235.2,0.72,1.591
1,0,0,0,1,0,0,0.15,2.85,15.6,1.07,230,0.697,1.59
1,0,0,0,1,0,0,0.18,2.82,10.78,0.887,172.52,0.594,1.604
1,0,0,0,1,0,0,0.1,2.9,14.23,1.005,215.4,0.66,1.6
1,0,0,0,1,0,0,0.225,2.775,12.57,1.045,180,0.657,1.62
1,0,0,0,1,0,0,0.25,2.75,10.77,0.98,167.8,0.66,1.65
1,0,0,0,1,0,0,0.2,2.8,15.53,1.02,211,0.7,1.62
1,0,0,0,1,0,0,0.3,2.7,8.57,0.82,172.7,0.61,1.65
1,0,0,0,1,0,0,0.33,2.67,12.1,1.01,204.4,0.619,1.62
1,0,0,0,1,0,0,0.36,2.64,8.13,0.89,138.9,0.653,1.62
1,0,0,0,1,0,0,0.39,2.61,10.38,0.901,163.86,0.6,1.641
1,0,0,0,1,0,0,0.3,2.7,14.07,1.05,193,0.69,1.5
1,0,0,0,1,0,0,0.45,2.55,8.38,0.87,174.1,0.568,1.65
1,0,0,0,1,0,0,0.4,2.6,15.75,1.055,202,0.735,1.67
1,0,0,0,1,0,0,0.56,2.44,13.5,0.99,195,0.7,1.68
1,0,0,0,1,0,0,0.5,2.5,11.03,1,182.87,0.656,1.656
1,0,0,0,1,0,2.4,0.6,0,0.42,1.13,8.5,0.43,2.83
1,0,0,0,1,0,0,0.6,2.4,11.2,1,169.5,0.6465,1.7
1,0,0,0,1,0,0,0.75,2.25,9.99,0.966,203,0.54,1.7
1,0,0,0,1,0,0,0.78,2.22,6.13,0.936,103.9,0.62,1.69
1,0,0,0,1,0,0,0.7,2.3,10.39,0.99,186.6,0.56,1.68
1,0,0,0,1,0,0,0.81,2.19,14.82,1.12,166.8,0.78,1.71
1,0,0,0,1,0,0,0.87,2.13,13.055,1.0175,180.26,0.6635,1.715
1,0,0,0,1,0,0,0.8,2.2,14.9,1.21,158,0.779,1.75
1,0,0,0,1,0,0,0.9,2.1,8.5,0.93,162,0.57,1.7
1,0,0,0,1,0,0,1.14,1.86,7.5,,,,1.777
1,0,0,0,1,0,0,1.26,1.74,4.63,0.898,82,0.658,1.79
1,0,0,0,1,0,0,1.2,1.8,8.7,1.06,121,0.69,1.77
1,0,0,0,1,0,0,1.41,1.59,5.5,,,,1.791
1,0,0,0,1,0,1.5,1.5,0,1.08,1.43,18,0.7,2.65
1,0,0,0,1,0,0,1.5,1.5,8.58,1.117,72.3,0.69,1.87
1,0,0,0,1,0,0,1.74,1.26,5.1,0.843,84.41,0.549,1.924
1,0,0,0,1,0,0,1.77,1.23,2.8,0.834,63.5,0.524,1.96
1,0,0,0,1,0,0,1.7,1.3,5.8,1.14,90,0.57,1.94
1,0,0,0,1,0,0,1.8,1.2,1.2,1.182,17.8,0.55,1.92
1,0,0,0,1,0,0,2.13,0.87,3.77,,,,2.033
1,0,0,0,1,0,0,2.16,0.84,1.39,0.94,31.8,0.485,2.01
1,0,0,0,1,0,0,2.25,0.75,1.675,0.84,53.05,0.385,1.67
1,0,0,0,1,0,0,2.52,0.48,3.91,,,,2.154
1,0,0,0,1,0,0,2.5,0.5,3.46,1.074,30.32,1.067,2.161
1,0,0,0,1,0,0,2.85,0.15,1.03,0.832,23.8,0.498,2.23
1,0,0,0,1,0,1,2,0,2.27,1.31,25,0.72,2.52
1,0,0,0,1,0,0,2,1,4.035,0.865,85.4,0.5665,1.98
1,0,0,0,1,0,0,3,0,3.81,1.25,52,0.621,2.3
1,0,0,0,1,0,2,1,0,0.57,1.43,11,0.77,2.75
1,0,0,0,1,0,0,1,2,10.065,1.0135,145.55,0.6585,1.79
1,0,0,0,1,0,3,0,0,0.28,1.38,4.45,0.522,3.045
1,0,0,0,1,0,0,0,3,12.28,0.972,194,0.67,1.6
1,0,0,0,0,1,0,0.42,2.58,1.66,0.38,134,0.322,1.4
1,0,0,0,0,1,0,0.6,2.4,0.81,0.19,133.4,0.321,1.36
1,0,0,0,0,1,0,1.2,1.8,0.07,0.15,10.3,0.51,1.6
1,0,0,0,0,1,0.5,1.5,1,1.87,0.356,110.6,0.475,1.97
1,0,0,0,0,1,0,1.5,1.5,1.855,0.611,113.7,0.3985,1.62
1,0,0,0,0,1,0.2,1.8,1,3.1,0.38,139.9,0.573,1.87
1,0,0,0,0,1,0,2.64,0.36,3.03,0.63,102.8,0.468,1.83
1,0,0,0,0,1,0,2,1,2.02,0.42,113.6,0.4775,1.77
1,0,0,0,0,1,0,3,0,2.31,0.69,82.6,0.368,2.15
1,0,0,0,0,1,0,1,2,2.45,0.41,143.8,0.474,1.49
1,0,0,0,0,1,3,0,0,1.61,0.515,96,0.55,2.2
1,0,0,0,0,1,0,0,3,1.275,0.33,137.85,0.3845,1.3
