entry_id,compound,efficiency (%),Open circuit voltage (V),Short circuit current density (A/m²),Fill factor,Band gap (eV)
-52p6pQ-RIOW5d6zsIMjFCt0CWjE,MAPbI3,19.52,1.1,221.0,0.8,1.6
-5Y-cWrBimLvwD8LFCturjR2W_Kw,Cs0.2FA0.8PbI3,13.9,0.91,245.0,0.62,
-5fSNlNqSTpmJsbkEquH4Un76tol,Cs0.05FA0.79MA0.16PbBr0.5I2.5,16.17,1.037,214.60000000000002,0.726,1.558
-5riEtpGlvnQDXdtyMNYLbEydK5j,MAPbI3,16.06,1.065,218.29999999999998,0.691,1.6
-5sO2dbkbtuhyGagXl2hNaXvO753,MAPbI3,11.42,0.894,189.3,0.675,1.5
-61mMhFs6q8m_Sqkfc8JP0pD2yZX,MAPbI3,3.9,0.901,130.0,0.336,1.6
-62Tnuo-R5CXisLqbJz4Onxst3oS,Cs0.05FA0.79MA0.16PbBr0.51I2.49,25.26,0.804,273.09999999999997,0.748,
-6B7F7Xi7xaPzCjPHcsOn1T_SPN6,MAPbI3,12.33,0.952,205.33999999999997,0.631,1.6
-6KS2IIq6LKM0oGyivd5KflEQnEy,MAPbI3,13.97,0.997,190.2,0.736,1.51
-6WALMjHEJMcD2HBd9i6UZzxynVm,MAPb0.9Sb0.1I3,9.48,0.937,173.70000000000002,0.557,
-6h2G96GkmCPYPIqdXaq8HCWu5jf,MAPbI3,11.37,0.997,188.1,0.61,1.6
-6qG3qZAyIrdkP9MRxWqWv1QD0O6,MAPbI3,15.9,1.0490000000000002,198.0,0.7659999999999999,1.6
-6wIdM0nN9Pyp8-JSqcbftOk1SfF,MAPbI3,16.16,1.01,161.6,0.69,1.6
-76tdyCa0F0EEKeDBzXMhZ72qI0A,MAPbI3,12.34,0.88,225.39999999999998,0.622,1.5
-77GfquuSzM3Z1tsm15EKOseiVP_,MA3Bi2I9,0.08,0.584,3.7,0.3829999999999999,
-78Ilrb8NLbwNPncr6BJkeCT0DVZ,MAPbI3,13.1,1.0,194.0,0.67,1.5499999999999998
-7B2bBeX_4ziXdDC5JnMy4XY_aHm,MAPbI3,9.6,1.035,139.0,0.67,1.5
-7EGtqghrZo6c9R3goGVL01jssgf,MAPbI3,6.82,0.82,227.0,0.419,1.6
-7EmjWVRoxE2z-oowqsacZAocg6l,Cs0.08FA0.77MA0.15PbBr0.51I2.49,9.3,0.742,183.72,0.683,1.6
