compound,MA,FA,Cs,EA,Pb,Sn,Cl,Br,I,efficiency (%),Open circuit voltage (V),Short circuit current density (A/m²),Fill factor,Band gap (eV),n_reports
Cs0.05FA0.79MA0.16PbBr1.2I1.8,0.16,0.79,0.05,0.0,1.0,0.0,0.0,1.2,1.8,14.17,1.14,171.9,0.723,1.7899999999999998,1
Cs0.05FA0.79MA0.16PbBr1.5I1.5,0.16,0.79,0.05,0.0,1.0,0.0,0.0,1.5,1.5,11.2,1.02,163.0,0.68,1.85,1
Cs0.05FA0.79MA0.16PbBrI2,0.16,0.79,0.05,0.0,1.0,0.0,0.0,1.0,2.0,14.93,0.98,205.5,0.734,1.61,2
Cs0.05FA0.79MA0.16PbI3,0.16,0.79,0.05,0.0,1.0,0.0,0.0,0.0,3.0,17.8,0.99,247.95,0.725,1.5499999999999998,5
Cs0.05FA0.79MA0.16SnBr0.5I2.5,0.16,0.79,0.05,0.0,0.0,1.0,0.0,0.5,2.5,1.585,0.43,56.7,0.52,1.45,2
Cs0.05FA0.8075MA0.1425PbBr0.45I2.55,0.1425,0.8075,0.05,0.0,1.0,0.0,0.0,0.45,2.55,18.47,1.06,228.9,0.7384999999999999,1.6185,24
Cs0.05FA0.80MA0.15PbBr0.45I2.55,0.15,0.8,0.05,0.0,1.0,0.0,0.0,0.45,2.55,19.14,1.149,222.05,0.745,1.6,14
Cs0.05FA0.81MA0.14PbBr0.39I2.61,0.14,0.81,0.05,0.0,1.0,0.0,0.0,0.39,2.61,19.93,1.16,235.7,0.72,1.59,7
Cs0.05FA0.81MA0.14PbBr0.42I2.58,0.14,0.81,0.05,0.0,1.0,0.0,0.0,0.42,2.58,14.03,0.99,223.1,0.64,1.61,11
Cs0.05FA0.81MA0.14PbBr0.45I2.55,0.14,0.81,0.05,0.0,1.0,0.0,0.0,0.45,2.55,18.66,1.09,225.8,0.755,1.6,54
Cs0.05FA0.81MA0.14PbBr0.4I2.6,0.14,0.81,0.05,0.0,1.0,0.0,0.0,0.4,2.6,20.35,1.142,225.3,0.7929999999999999,1.61,3
Cs0.05FA0.83MA0.12PbBr0.36I2.64,0.12,0.83,0.05,0.0,1.0,0.0,0.0,0.36,2.64,14.775,0.9844999999999999,215.55,0.6765,1.61,10
Cs0.05FA0.83MA0.12PbBr0.39I2.61,0.12,0.83,0.05,0.0,1.0,0.0,0.0,0.39,2.61,16.55,1.007,224.3,0.7,1.6,7
Cs0.05FA0.83MA0.12PbBr0.49I2.51,0.12,0.83,0.05,0.0,1.0,0.0,0.0,0.49,2.51,14.9,1.1549999999999998,210.25,0.5700000000000001,1.6,2
Cs0.05FA0.83MA0.12PbBr0.51I2.49,0.12,0.83,0.05,0.0,1.0,0.0,0.0,0.51,2.49,15.5,1.092,203.0,0.7,1.63,1
Cs0.05FA0.85MA0.1PbBr0.03I2.97,0.1,0.85,0.05,0.0,1.0,0.0,0.0,0.03,2.97,19.13,1.08,239.9,0.738,1.598,1
Cs0.05FA0.85MA0.1PbBr3.0,0.1,0.85,0.05,0.0,1.0,0.0,0.0,3.0,0.0,5.67,1.4,62.400000000000006,0.65,2.28,1
Cs0.05FA0.8MA0.15PbBr0.15I2.85,0.15,0.8,0.05,0.0,1.0,0.0,0.0,0.15,2.85,19.53,1.165,218.89999999999998,0.765,1.6219999999999999,2
Cs0.05FA0.8MA0.15PbBr0.45I2.55,0.15,0.8,0.05,0.0,1.0,0.0,0.0,0.45,2.55,19.0,1.14,216.5,0.77,1.6,5
Cs0.05FA0.94MA0.01PbBr0.03I2.97,0.01,0.94,0.05,0.0,1.0,0.0,0.0,0.03,2.97,18.7,1.052,249.4,0.7709999999999999,1.5499999999999998,1
Cs0.05FA0.95PbBr0.15I2.85,0.0,0.95,0.05,0.0,1.0,0.0,0.0,0.15,2.85,17.42,0.922,190.2,0.612,1.48,1
Cs0.05FA0.95PbI3,0.0,0.95,0.05,0.0,1.0,0.0,0.0,0.0,3.0,18.04,1.06,233.5,0.726,1.54,31
Cs0.05MA0.95PbBr1.2I1.8,0.95,0.0,0.05,0.0,1.0,0.0,0.0,1.2,1.8,12.1,1.18,149.0,0.69,1.82,1
Cs0.05MA0.95PbI3,0.95,0.0,0.05,0.0,1.0,0.0,0.0,0.0,3.0,6.29,1.01,86.89999999999999,0.72,1.51,1
Cs0.06FA0.78MA0.16PbBr0.51I2.49,0.16,0.78,0.06,0.0,1.0,0.0,0.0,0.51,2.49,16.7,1.11,221.0,0.76,1.63,1
Cs0.06FA0.79MA0.15PbBr0.45I2.55,0.15,0.79,0.06,0.0,1.0,0.0,0.0,0.45,2.55,17.9,1.1099999999999999,231.0,0.716,1.6,4
Cs0.06FA0.79MA0.15PbBr1.8I1.2,0.15,0.79,0.06,0.0,1.0,0.0,0.0,1.8,1.2,14.4,1.175,166.0,0.755,1.8050000000000002,2
Cs0.07FA0.73MA0.20PbBr0.47I2.53,0.2,0.73,0.07,0.0,1.0,0.0,0.0,0.47,2.53,18.45,1.264,228.1,0.7335,1.6,2
Cs0.07FA0.77MA0.16PbBr0.50I2.50,0.16,0.77,0.07,0.0,1.0,0.0,0.0,0.5,2.5,14.35,1.065,179.0,0.75,1.639,2
Cs0.07FA0.78MA0.15PbBr0.45I2.55,0.15,0.78,0.07,0.0,1.0,0.0,0.0,0.45,2.55,20.1,1.17,227.5,0.764,1.61,3
Cs0.07FA0.79MA0.14PbBr0.45I2.55,0.14,0.79,0.07,0.0,1.0,0.0,0.0,0.45,2.55,19.48,1.1600000000000001,230.4,0.724,1.55,2
Cs0.07FA0.93PbBr0.15I2.85,0.0,0.93,0.07,0.0,1.0,0.0,0.0,0.15,2.85,14.01,1.03,207.5,0.66,1.6200000000000003,1
Cs0.07FA0.93PbI3,0.0,0.93,0.07,0.0,1.0,0.0,0.0,0.0,3.0,15.4,0.99,220.0,0.7509999999999999,1.54,3
Cs0.085FA0.915PbBr0.45I2.55,0.0,0.915,0.085,0.0,1.0,0.0,0.0,0.45,2.55,16.31,1.09,214.9,0.726,1.6249999999999998,7
Cs0.08FA0.55MA0.37PbI3,0.37,0.55,0.08,0.0,1.0,0.0,0.0,0.0,3.0,5.0,0.845,135.7,0.44,1.5300000000000002,1
Cs0.08FA0.77MA0.15PbBr0.51I2.49,0.15,0.77,0.08,0.0,1.0,0.0,0.0,0.51,2.49,14.690000000000001,1.047,190.12,0.7355,1.6,120
Cs0.08FA0.78MA0.14PbBr0.42I2.58,0.14,0.78,0.08,0.0,1.0,0.0,0.0,0.42,2.58,10.35,0.73,209.1,0.71,1.61,7
Cs0.08FA0.92PbI3,0.0,0.92,0.08,0.0,1.0,0.0,0.0,0.0,3.0,22.0,,,,1.51,1
Cs0.09FA0.58MA0.33PbBr0.65I2.35,0.33,0.58,0.09,0.0,1.0,0.0,0.0,0.65,2.35,18.3,1.1,230.0,0.76,1.59,9
Cs0.09MA0.91PbI3,0.91,0.0,0.09,0.0,1.0,0.0,0.0,0.0,3.0,17.8,1.0550000000000002,224.95,0.75,1.59,2
Cs0.10FA0.75MA0.15PbBr0.51I2.49,0.15,0.75,0.1,0.0,1.0,0.0,0.0,0.51,2.49,19.4,1.1444999999999999,224.5,0.755,1.63,4
Cs0.10FA0.81MA0.09PbBr0.03I2.97,0.09,0.81,0.1,0.0,1.0,0.0,0.0,0.03,2.97,20.45,1.1,244.7,0.758,1.6,1
Cs0.10FA0.83MA0.07PbBr0.51I2.49,0.07,0.83,0.1,0.0,1.0,0.0,0.0,0.51,2.49,16.2,1.071,210.0,0.72,1.63,1
Cs0.10MA0.90PbI3,0.9,0.0,0.1,0.0,1.0,0.0,0.0,0.0,3.0,7.68,1.05,101.0,0.73,1.54,1
Cs0.11MA0.89PbI3,0.89,0.0,0.11,0.0,1.0,0.0,0.0,0.0,3.0,17.76,1.03,226.9,0.76,1.6200000000000003,1
Cs0.125FA0.875PbBr0.375I2.625,0.0,0.875,0.125,0.0,1.0,0.0,0.0,0.375,2.625,17.71,1.0945,216.01500000000001,0.7335,1.57,22
Cs0.12FA0.5MA0.38PbBr0.96I2.04,0.38,0.5,0.12,0.0,1.0,0.0,0.0,0.96,2.04,12.445,1.145,169.65000000000003,0.641,1.72,2
Cs0.12FA0.83MA0.05PbBr1.2I1.8,0.05,0.83,0.12,0.0,1.0,0.0,0.0,1.2,1.8,19.1,1.25,190.0,0.815,1.74,1
Cs0.13FA0.87PbBrI2,0.0,0.87,0.13,0.0,1.0,0.0,0.0,1.0,2.0,14.399999999999999,1.08,179.8,0.741,1.72,2
Cs0.14FA0.83MA0.03PbBr0.51I2.49,0.03,0.83,0.14,0.0,1.0,0.0,0.0,0.51,2.49,16.3,1.083,209.0,0.72,1.63,1
Cs0.15FA0.55MA0.3PbBr0.6I2.4,0.3,0.55,0.15,0.0,1.0,0.0,0.0,0.6,2.4,14.4,1.12,185.0,0.691,1.6800000000000002,1
Cs0.15FA0.65MA0.20PbBr0.6I2.4,0.2,0.65,0.15,0.0,1.0,0.0,0.0,0.6,2.4,18.3,1.1535,204.0,0.7829999999999999,1.6800000000000002,2
Cs0.15FA0.65MA0.2PbBr0.6I2.4,0.2,0.65,0.15,0.0,1.0,0.0,0.0,0.6,2.4,16.0,1.14,199.0,0.718,1.67,1
Cs0.15FA0.68MA0.17PbBr0.3I2.7,0.17,0.68,0.15,0.0,1.0,0.0,0.0,0.3,2.7,16.2,1.06,212.0,0.722,1.63,1
Cs0.15FA0.68MA0.17PbBr0.51I2.49,0.17,0.68,0.15,0.0,1.0,0.0,0.0,0.51,2.49,16.8,1.09,203.0,0.757,1.65,1
Cs0.15FA0.68MA0.17PbBr0.6I2.4,0.17,0.68,0.15,0.0,1.0,0.0,0.0,0.6,2.4,16.1,1.1,199.0,0.737,1.6800000000000002,1
Cs0.15FA0.68MA0.17PbBr0.72I2.28,0.17,0.68,0.15,0.0,1.0,0.0,0.0,0.72,2.28,14.9,1.09,187.0,0.724,1.71,1
Cs0.15FA0.68MA0.17PbBr0.9I2.1,0.17,0.68,0.15,0.0,1.0,0.0,0.0,0.9,2.1,14.4,1.11,180.0,0.719,1.74,1
Cs0.15FA0.71MA0.14PbBr0.9I2.1,0.14,0.71,0.15,0.0,1.0,0.0,0.0,0.9,2.1,17.799999999999997,1.185,189.5,0.795,1.6999999999999995,4
Cs0.15FA0.75MA0.10PbBr0.6I2.4,0.1,0.75,0.15,0.0,1.0,0.0,0.0,0.6,2.4,16.0,1.11,189.0,0.765,1.66,1
Cs0.15FA0.75MA0.1PbBr0.1I2.9,0.1,0.75,0.15,0.0,1.0,0.0,0.0,0.1,2.9,20.2,1.13,234.9,0.77,1.57,1
Cs0.15FA0.75MA0.1PbI3,0.1,0.75,0.15,0.0,1.0,0.0,0.0,0.0,3.0,19.725,1.13,230.4,0.7605,1.554,2
Cs0.15FA0.76MA0.09PbBr0.03I2.97,0.09,0.76,0.15,0.0,1.0,0.0,0.0,0.03,2.97,16.46,1.05,225.3,0.698,1.599,1
Cs0.15FA0.85Pb0.375Sn0.625I3,0.0,0.85,0.15,0.0,0.375,0.625,0.0,0.0,3.0,13.5,0.76,246.0,0.7,1.24,1
Cs0.15FA0.85PbBr0.12I2.88,0.0,0.85,0.15,0.0,1.0,0.0,0.0,0.12,2.88,20.0,1.117,227.4,0.7809999999999999,1.6,7
Cs0.15FA0.85PbBr0.15I2.85,0.0,0.85,0.15,0.0,1.0,0.0,0.0,0.15,2.85,15.0,1.0,224.0,0.74,1.59,3
Cs0.15FA0.85PbBr0.3I2.7,0.0,0.85,0.15,0.0,1.0,0.0,0.0,0.3,2.7,18.935000000000002,1.1015000000000001,226.7,0.76,1.58,6
Cs0.15FA0.85PbBr0.45I2.55,0.0,0.85,0.15,0.0,1.0,0.0,0.0,0.45,2.55,16.26,1.011,222.4,0.7195,1.5350000000000001,2
Cs0.15FA0.85PbBr0.6I2.4,0.0,0.85,0.15,0.0,1.0,0.0,0.0,0.6,2.4,19.07,1.146,213.1,0.7805,1.626,4
Cs0.15FA0.85PbBr0.81I2.19,0.0,0.85,0.15,0.0,1.0,0.0,0.0,0.81,2.19,15.55,1.1800000000000002,190.65,0.6935,1.72,2
Cs0.15FA0.85PbBr0.87I2.13,0.0,0.85,0.15,0.0,1.0,0.0,0.0,0.87,2.13,12.1,1.21,151.0,0.7090000000000001,1.72,3
Cs0.15FA0.85PbBr0.9I2.1,0.0,0.85,0.15,0.0,1.0,0.0,0.0,0.9,2.1,18.23,1.188,199.3,0.769,1.6999999999999995,19
Cs0.15FA0.85PbBr1.2I1.8,0.0,0.85,0.15,0.0,1.0,0.0,0.0,1.2,1.8,16.740000000000002,1.202,180.5,0.7655000000000001,1.7520000000000002,4
Cs0.15FA0.85PbBr2.1I0.9,0.0,0.85,0.15,0.0,1.0,0.0,0.0,2.1,0.9,10.7,1.2,114.0,0.778,2.0,1
Cs0.15FA0.85PbI3,0.0,0.85,0.15,0.0,1.0,0.0,0.0,0.0,3.0,15.2,0.999,214.0,0.6970000000000001,1.54,7
Cs0.15MA0.85PbBr0.45I2.55,0.85,0.0,0.15,0.0,1.0,0.0,0.0,0.45,2.55,10.39,1.09,131.6,0.73,1.71,3
Cs0.15MA0.85PbBr1.2I1.8,0.85,0.0,0.15,0.0,1.0,0.0,0.0,1.2,1.8,8.1,0.98,129.0,0.64,1.82,1
Cs0.15MA0.85PbI3,0.85,0.0,0.15,0.0,1.0,0.0,0.0,0.0,3.0,12.44,0.99,163.9,0.76,1.59,1
Cs0.16FA0.8MA0.04PbBr1.5I1.5,0.04,0.8,0.16,0.0,1.0,0.0,0.0,1.5,1.5,14.33,1.2,145.29999999999998,0.82,1.82,5
Cs0.16FA0.8MA0.04PbBr1.71I1.29,0.04,0.8,0.16,0.0,1.0,0.0,0.0,1.71,1.29,13.19,1.21,134.2,0.8140000000000001,1.89,1
Cs0.16FA0.8MA0.04PbBr1.83I1.17,0.04,0.8,0.16,0.0,1.0,0.0,0.0,1.83,1.17,12.75,1.23,127.9,0.812,1.91,1
Cs0.17FA0.75MA0.08PbBr0.39I2.61,0.08,0.75,0.17,0.0,1.0,0.0,0.0,0.39,2.61,9.614999999999998,0.925,188.0,0.5555,1.61,4
Cs0.17FA0.83Pb0.3Sn0.7I3,0.0,0.83,0.17,0.0,0.3,0.7,0.0,0.0,3.0,9.3,0.685,210.5,0.592,1.25,2
Cs0.17FA0.83Pb0.4Sn0.6I3,0.0,0.83,0.17,0.0,0.4,0.6,0.0,0.0,3.0,9.95,0.625,244.0,0.5495000000000001,1.25,2
Cs0.17FA0.83Pb0.5Sn0.5I3,0.0,0.83,0.17,0.0,0.5,0.5,0.0,0.0,3.0,12.100000000000001,0.725,235.0,0.5715,1.26,2
Cs0.17FA0.83Pb0.6Sn0.4I3,0.0,0.83,0.17,0.0,0.6,0.4,0.0,0.0,3.0,10.1,0.7250000000000001,203.0,0.5695,1.275,2
Cs0.17FA0.83Pb0.7Sn0.3I3,0.0,0.83,0.17,0.0,0.7,0.3,0.0,0.0,3.0,14.25,0.785,250.5,0.6965,1.32,4
Cs0.17FA0.83Pb0.8Sn0.2I3,0.0,0.83,0.17,0.0,0.8,0.2,0.0,0.0,3.0,6.75,0.74,127.5,0.598,1.35,2
Cs0.17FA0.83Pb0.95Sn0.05I3,0.0,0.83,0.17,0.0,0.95,0.05,0.0,0.0,3.0,6.5,0.71,160.5,0.53,1.4849999999999999,2
Cs0.17FA0.83Pb0.98Sn0.02I3,0.0,0.83,0.17,0.0,0.98,0.02,0.0,0.0,3.0,6.5,0.735,148.0,0.5914999999999999,1.51,2
Cs0.17FA0.83Pb0.995Sn0.005I3,0.0,0.83,0.17,0.0,0.995,0.005,0.0,0.0,3.0,6.300000000000001,0.8049999999999999,117.5,0.6775,1.53,2
Cs0.17FA0.83Pb0.99999Sn0.00001I3,0.0,0.83,0.17,0.0,0.99999,1e-05,0.0,0.0,3.0,15.0,0.965,205.5,0.7305,1.545,2
Cs0.17FA0.83Pb0.9999Sn0.0001I3,0.0,0.83,0.17,0.0,0.9999,0.0001,0.0,0.0,3.0,14.3,0.95,200.0,0.7435,1.535,2
Cs0.17FA0.83Pb0.999Sn0.001I3,0.0,0.83,0.17,0.0,0.999,0.001,0.0,0.0,3.0,7.9,0.9099999999999999,121.5,0.7,1.5299999999999998,2
Cs0.17FA0.83Pb0.99Sn0.01I3,0.0,0.83,0.17,0.0,0.99,0.01,0.0,0.0,3.0,6.35,0.775,130.0,0.648,1.52,2
Cs0.17FA0.83Pb0.9Sn0.1I3,0.0,0.83,0.17,0.0,0.9,0.1,0.0,0.0,3.0,9.35,0.74,190.0,0.6305000000000001,1.44,2
Cs0.17FA0.83PbBr0.51I2.49,0.0,0.83,0.17,0.0,1.0,0.0,0.0,0.51,2.49,15.4,1.02,205.0,0.71,1.63,3
Cs0.17FA0.83PbBr0.6I2.4,0.0,0.83,0.17,0.0,1.0,0.0,0.0,0.6,2.4,18.5,1.115,224.0,0.775,1.61,2
Cs0.17FA0.83PbBr0.75I2.25,0.0,0.83,0.17,0.0,1.0,0.0,0.0,0.75,2.25,15.850000000000001,1.115,182.5,0.77,1.7150000000000003,4
Cs0.17FA0.83PbBr0.81I2.19,0.0,0.83,0.17,0.0,1.0,0.0,0.0,0.81,2.19,14.3,1.09,182.0,0.71,1.6999999999999995,1
Cs0.17FA0.83PbBr0.8I2.2,0.0,0.83,0.17,0.0,1.0,0.0,0.0,0.8,2.2,15.87,1.194,193.7,0.687,1.72,7
Cs0.17FA0.83PbBr1.2I1.8,0.0,0.83,0.17,0.0,1.0,0.0,0.0,1.2,1.8,15.2,1.15,187.0,0.727,1.74,13
Cs0.17FA0.83PbBr1.5I1.5,0.0,0.83,0.17,0.0,1.0,0.0,0.0,1.5,1.5,12.29,1.175,158.0,0.6920000000000001,1.8600000000000003,5
Cs0.17FA0.83PbBr1.8I1.2,0.0,0.83,0.17,0.0,1.0,0.0,0.0,1.8,1.2,13.3,1.286,147.0,0.7040000000000001,1.93,3
Cs0.17FA0.83PbBrI2,0.0,0.83,0.17,0.0,1.0,0.0,0.0,1.0,2.0,16.24,1.19,195.6,0.76,1.67,3
Cs0.17FA0.83PbI3,0.0,0.83,0.17,0.0,1.0,0.0,0.0,0.0,3.0,15.4,0.97,212.0,0.72,1.5499999999999998,3
Cs0.17MA0.83PbI3,0.83,0.0,0.17,0.0,1.0,0.0,0.0,0.0,3.0,18.12,1.04,229.2,0.76,1.633,1
Cs0.1FA0.1MA0.8PbI3,0.8,0.1,0.1,0.0,1.0,0.0,0.0,0.0,3.0,14.4,1.0350000000000001,197.2,0.714,1.5,6
Cs0.1FA0.2MA0.7PbI3,0.7,0.2,0.1,0.0,1.0,0.0,0.0,0.0,3.0,17.5,1.12,210.0,0.71,1.6200000000000003,1
Cs0.1FA0.36MA0.54PbBr0.2I2.8,0.54,0.36,0.1,0.0,1.0,0.0,0.0,0.2,2.8,10.57,0.018,9.03,0.66,1.59,1
Cs0.1FA0.54MA0.36PbI3,0.36,0.54,0.1,0.0,1.0,0.0,0.0,0.0,3.0,19.4,1.082,233.0,0.8,1.51,1
Cs0.1FA0.747MA0.153PbBr0.51I2.49,0.153,0.747,0.1,0.0,1.0,0.0,0.0,0.51,2.49,19.6,1.14,223.0,0.77,1.73,1
Cs0.1FA0.75MA0.15Pb0.25Sn0.75Br0.5I2.5,0.15,0.75,0.1,0.0,0.25,0.75,0.0,0.5,2.5,9.73,0.68,201.9,0.66,1.29,2
Cs0.1FA0.75MA0.15Pb0.5Sn0.5Br0.5I2.5,0.15,0.75,0.1,0.0,0.5,0.5,0.0,0.5,2.5,12.215,0.72,231.4,0.65,1.31,2
Cs0.1FA0.75MA0.15Pb0.75Sn0.25Br0.5I2.5,0.15,0.75,0.1,0.0,0.75,0.25,0.0,0.5,2.5,14.66,0.83,223.9,0.73,1.36,2
Cs0.1FA0.75MA0.15PbBr0.45I2.55,0.15,0.75,0.1,0.0,1.0,0.0,0.0,0.45,2.55,13.7,0.931,206.0,0.711,1.63,3
Cs0.1FA0.75MA0.15PbBr0.51I2.49,0.15,0.75,0.1,0.0,1.0,0.0,0.0,0.51,2.49,16.3,1.0490000000000002,207.0,0.75,1.63,1
Cs0.1FA0.75MA0.15PbBr0.5I2.5,0.15,0.75,0.1,0.0,1.0,0.0,0.0,0.5,2.5,12.08,1.025,162.6,0.72,1.6099999999999999,4
Cs0.1FA0.75MA0.15PbBrI2,0.15,0.75,0.1,0.0,1.0,0.0,0.0,1.0,2.0,17.345,1.16,183.6,0.741,1.7349999999999999,2
Cs0.1FA0.75MA0.15SnBr0.5I2.5,0.15,0.75,0.1,0.0,0.0,1.0,0.0,0.5,2.5,2.62,0.41,89.80000000000001,0.65,1.4400000000000002,2
Cs0.1FA0.765MA0.135PbBr0.45I2.55,0.135,0.765,0.1,0.0,1.0,0.0,0.0,0.45,2.55,15.71,1.061,212.8,0.696,1.611,1
Cs0.1FA0.76MA0.14PbBr0.51I2.49,0.14,0.76,0.1,0.0,1.0,0.0,0.0,0.51,2.49,18.4,1.098,221.0,0.775,1.61,3
Cs0.1FA0.81MA0.09PbBr0.1I2.9,0.09,0.81,0.1,0.0,1.0,0.0,0.0,0.1,2.9,21.7,1.13,241.0,0.81,1.5499999999999998,1
Cs0.1FA0.9PbBr0.09I2.91,0.0,0.9,0.1,0.0,1.0,0.0,0.0,0.09,2.91,16.5,1.03,225.0,0.71,1.54,1
Cs0.1FA0.9PbBr0.13I2.87,0.0,0.9,0.1,0.0,1.0,0.0,0.0,0.13,2.87,17.04,1.08,195.9,0.803,1.645,1
Cs0.1FA0.9PbBr0.1I2.9,0.0,0.9,0.1,0.0,1.0,0.0,0.0,0.1,2.9,17.72,1.024,226.2,0.765,1.5499999999999998,2
Cs0.1FA0.9PbBr0.3I2.7,0.0,0.9,0.1,0.0,1.0,0.0,0.0,0.3,2.7,17.42,1.07,224.0,0.762,1.5499999999999998,3
Cs0.1FA0.9PbBr0.6I2.4,0.0,0.9,0.1,0.0,1.0,0.0,0.0,0.6,2.4,15.4,1.14,200.0,0.71,1.61,1
Cs0.1FA0.9PbBr0.9I2.1,0.0,0.9,0.1,0.0,1.0,0.0,0.0,0.9,2.1,18.619999999999997,1.1724999999999999,203.35,0.781,1.6780000000000002,6
Cs0.1FA0.9PbBr3,0.0,0.9,0.1,0.0,1.0,0.0,0.0,3.0,0.0,6.21,1.234,70.7,0.711,2.277,1
Cs0.1FA0.9PbI3,0.0,0.9,0.1,0.0,1.0,0.0,0.0,0.0,3.0,16.015,1.02,233.0,0.7290000000000001,1.509,14
Cs0.1MA0.9Pb0.25Sn0.75I3,0.9,0.0,0.1,0.0,0.25,0.75,0.0,0.0,3.0,6.38,0.48,218.4,0.609,1.27,2
Cs0.1MA0.9Pb0.5Sn0.5I3,0.9,0.0,0.1,0.0,0.5,0.5,0.0,0.0,3.0,10.07,0.7,233.2,0.617,1.29,2
Cs0.1MA0.9Pb0.75Sn0.25I3,0.9,0.0,0.1,0.0,0.75,0.25,0.0,0.0,3.0,14.55,0.84,228.0,0.76,1.39,1
Cs0.1MA0.9PbBr1.2I1.8,0.9,0.0,0.1,0.0,1.0,0.0,0.0,1.2,1.8,12.8,1.2,151.0,0.69,1.82,1
Cs0.1MA0.9PbBrI2,0.9,0.0,0.1,0.0,1.0,0.0,0.0,1.0,2.0,16.1,1.13,173.0,0.8220000000000001,1.7700000000000002,1
Cs0.1MA0.9PbI3,0.9,0.0,0.1,0.0,1.0,0.0,0.0,0.0,3.0,13.955,1.0,197.7,0.742,1.6060000000000003,4
Cs0.1MA0.9SnI3,0.9,0.0,0.1,0.0,0.0,1.0,0.0,0.0,3.0,0.33,0.2,45.3,0.364,1.305,2
Cs0.20MA0.80PbI3,0.8,0.0,0.2,0.0,1.0,0.0,0.0,0.0,3.0,4.58,1.04,67.6,0.65,1.57,1
Cs0.22FA0.78PbBr0.45I2.55,0.0,0.78,0.22,0.0,1.0,0.0,0.0,0.45,2.55,20.39,1.204,207.2,0.817,1.6800000000000002,1
Cs0.23MA0.77PbI3,0.77,0.0,0.23,0.0,1.0,0.0,0.0,0.0,3.0,18.950000000000003,1.07,228.39999999999998,0.775,1.644,2
Cs0.25FA0.6MA0.15PbBr0.3I2.7,0.15,0.6,0.25,0.0,1.0,0.0,0.0,0.3,2.7,17.1,1.07,199.0,0.805,1.64,1
Cs0.25FA0.6MA0.15PbBr0.51I2.49,0.15,0.6,0.25,0.0,1.0,0.0,0.0,0.51,2.49,13.8,1.13,181.0,0.674,1.6800000000000002,1
Cs0.25FA0.6MA0.15PbBr0.6I2.4,0.15,0.6,0.25,0.0,1.0,0.0,0.0,0.6,2.4,14.1,1.12,178.0,0.705,1.6999999999999995,1
Cs0.25FA0.6MA0.15PbBr0.72I2.28,0.15,0.6,0.25,0.0,1.0,0.0,0.0,0.72,2.28,15.3,1.12,179.0,0.764,1.72,1
Cs0.25FA0.6MA0.15PbBr0.9I2.1,0.15,0.6,0.25,0.0,1.0,0.0,0.0,0.9,2.1,13.6,1.17,167.0,0.696,1.76,1
Cs0.25FA0.75Pb0.5Sn0.5I3,0.0,0.75,0.25,0.0,0.5,0.5,0.0,0.0,3.0,13.1,0.72,267.0,0.71,1.24,5
Cs0.25FA0.75PbBr0.3I2.7,0.0,0.75,0.25,0.0,1.0,0.0,0.0,0.3,2.7,16.65,1.081,221.7,0.725,1.57,5
Cs0.25FA0.75PbBr0.51I2.49,0.0,0.75,0.25,0.0,1.0,0.0,0.0,0.51,2.49,12.4,1.021,209.0,0.58,1.63,1
Cs0.25FA0.75PbBr0.60I2.40,0.0,0.75,0.25,0.0,1.0,0.0,0.0,0.6,2.4,14.6,1.166,172.0,0.726,1.6999999999999995,1
Cs0.25FA0.75PbBr0.6I2.4,0.0,0.75,0.25,0.0,1.0,0.0,0.0,0.6,2.4,18.43,1.154,196.6,0.78,1.6800000000000002,15
Cs0.25FA0.75PbBr0.9I2.1,0.0,0.75,0.25,0.0,1.0,0.0,0.0,0.9,2.1,17.29,1.203,184.8,0.756,1.729,5
Cs0.25FA0.75PbI3,0.0,0.75,0.25,0.0,1.0,0.0,0.0,0.0,3.0,9.280000000000001,1.11,159.95,0.66,1.5750000000000002,4
Cs0.2FA0.2MA0.6PbI3,0.6,0.2,0.2,0.0,1.0,0.0,0.0,0.0,3.0,20.1,1.13,230.0,0.75,1.64,5
Cs0.2FA0.32MA0.48PbBr0.2I2.8,0.48,0.32,0.2,0.0,1.0,0.0,0.0,0.2,2.8,7.64,0.013,8.89,0.68,1.6069999999999998,1
Cs0.2FA0.66MA0.14Pb0.25Sn0.75Br0.5I2.5,0.14,0.66,0.2,0.0,0.25,0.75,0.0,0.5,2.5,10.39,0.7,207.4,0.67,1.28,2
Cs0.2FA0.66MA0.14Pb0.5Sn0.5Br0.5I2.5,0.14,0.66,0.2,0.0,0.5,0.5,0.0,0.5,2.5,10.4,0.75,220.7,0.61,1.31,2
Cs0.2FA0.66MA0.14Pb0.75Sn0.25Br0.5I2.5,0.14,0.66,0.2,0.0,0.75,0.25,0.0,0.5,2.5,9.96,0.78,175.0,0.69,1.38,2
Cs0.2FA0.66MA0.14PbBr0.5I2.5,0.14,0.66,0.2,0.0,1.0,0.0,0.0,0.5,2.5,8.575,1.04,118.5,0.64,1.6,2
Cs0.2FA0.66MA0.14SnBr0.5I2.5,0.14,0.66,0.2,0.0,0.0,1.0,0.0,0.5,2.5,0.22999999999999998,0.39,13.4,0.41,1.42,2
Cs0.2FA0.72MA0.08PbBr0.03I2.97,0.08,0.72,0.2,0.0,1.0,0.0,0.0,0.03,2.97,15.2,1.01,218.2,0.68,1.6200000000000003,1
